state,value
AL,9
AK,0.3
AZ,190
AR,9
CA,1780
CO,137
CT,18
DE,4.8
FL,123
GA,80
HI,2.2
ID,573
IL,96
IN,176
IA,208
KS,134
KY,71
LA,16
ME,31
MD,50
MA,13
MI,380
MN,464
MS,14
MO,92
MT,14
NE,54
NV,29
NH,13
NJ,7
NM,323
NY,610
NC,46
ND,18
OH,270
OK,45
OR,123
PA,533
RI,0.9
SC,16
SD,94
TN,48
TX,437
UT,95
VT,134
VA,95
WA,266
WV,10
WI,1271
WY,6
