state,value
AL,5468301
AK,794614
AZ,5786891
AR,2808138
CA,30221033
CO,5116341
CT,2841842
DE,1003840
FL,16600317
GA,8239779
HI,1231728
ID,1842245
IL,10277182
IN,6140530
IA,3676290
KS,2649736
KY,4224788
LA,3904962
ME,1107674
MD,4178873
MA,5069559
MI,8332895
MN,5358317
MS,2067222
MO,5684525
MT,1794732
NE,1951766
NV,2398659
NH,1322682
NJ,5940997
NM,1823961
NY,11122392
NC,8270643
ND,894954
OH,10686057
OK,3737405
OR,3811706
PA,10748822
RI,876228
SC,4324423
SD,1246359
TN,5709923
TX,21766166
UT,2317282
VT,615950
VA,7301081
WA,7047689
WV,1704825
WI,5564429
WY,855230
