REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,VALUE,SUBPARTS
2013,#540 BONANZA CREEK ENERGY - DENVER BASIN,1000355,"410 17th Street, Suite 1500",39.74431,-104.98858,Denver,DENVER COUNTY,CO,80202,"BONANZA CREEK ENERGY, INC (100%)",103954,W
2013,121 REGIONAL DISPOSAL FACILITY,1004377,3820 SAM RAYBURN HIGHWAY,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,North Texas Municipal Water District (100%),289953,HH
2013,15-18565/15-18662,1010040,4200 S. Hwy 15,37.219099,-83.156046,Hazard,PERRY COUNTY,KY,40701,TECO Coal Corp (100%),306681,FF
2013,15-19015,1010085,1845 S. KY HWY 15,37.236617,-83.18126,Hazard,PERRY,KY,41701,TECO Coal Corporation (100%),57767,FF
2013,220 Gulf Coast,1009263,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",22166,W
2013,220 Gulf Coast Basin DEC,1009238,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),36014,W
2013,230 Arkla Basin DEC,1008121,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),11541,W
2013,230 Arkla Basin QEP Energy Company,1009283,1050 17th Street Unit 800,39.7480769,-104.994564,Denver,,CO,80265,QEP RESOURCES INC (100%),134733,W
2013,23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,New York Power Authority (100%),48,"C,D"
2013,260 East Texas Basin,1009117,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",10807,W
2013,260 East Texas Basin - BP America Production Company,1009170,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),44599,W
2013,29-6 #2 Central Delivery Point,1006394,,36.7452,-107.4455,Blanco,Rio Arriba,NM,87412,"WILLIAMS PARTNERS, LP (100%)",7,C
2013,30-5 Central Delivery Point Compressor Station,1002885,,36.8118,-107.4036,Aztec,Rio Arriba,NM,87410,"WILLIAMS PARTNERS, LP (100%)",11,C
2013,31-6 Central Delivery Point,1002707,,36.8363,-107.4199,BLOOMFIELD,Rio Arriba,NM,87413,"WILLIAMS PARTNERS, LP (100%)",32,C
2013,31st Street Landfill,1003742,11700 W 31ST ST,41.835129,-87.915924,WESTCHESTER,COOK COUNTY,IL,60154,ARCHDIOCESE OF CHICAGO (100%),97468,HH
2013,32-7 Central Delivery Point,1002718,,36.9313,-107.5604,BLANCO,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",20,C
2013,32-8 #2 CDP COMPRESSOR STATION,1002721,,36.9569,-107.6631,BLANCO,SAN JUAN,NM,87412,"WILLIAMS PARTNERS, LP (100%)",22,C
2013,340 Arkoma Basin QEP Energy Company,1009284,"6100 South Yale, Suite 900",36.0613546,-95.9515399,Tulsa,,OK,74136,QEP RESOURCES INC (100%),55536,W
2013,345 Arkoma Basin - BP America Production Company,1009169,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),169942,W
2013,345 Arkoma Basin DEC,1008285,333 West Sheridan Ave,35.46734,-97.51406,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),10547,W
2013,350 South Oklahoma Folded Belt,1009119,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",5723,W
2013,355 Chatauque Platform,1009264,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",16142,W
2013,355 Chautauqua Platform DEC,1008286,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),26815,W
2013,360 Anadarko Basin,1009265,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",130455,W
2013,360 Anadarko Basin - BP America Production Company,1008558,501 Westlake Park Blvd,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),237102,W
2013,360 Anadarko Basin DEC,1008287,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),196017,W
2013,360 Anadarko Basin QEP Energy Company,1009285,"6100 South Yale, Suite 900",36.072617,-95.923102,Tulsa,,OK,74136,QEP RESOURCES INC (100%),32417,W
2013,395 Williston Basin QEP Energy Company,1009281,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,DENVER COUNTY,CO,80265,QEP RESOURCES INC (100%),97673,W
2013,3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN,TX,76801,3M Company (100%),16,"C,N"
2013,3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M Company (100%),38,C
2013,3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M Company (100%),15,"C,N"
2013,3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON,WI,54401,3M CO (100%),14,C
2013,3M COMPANY,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN,AL,35609,3M Center (100%),26,"C,L,OO"
2013,3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND,IL,61242,3M Company (100%),15,"C,L,OO"
2013,3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M (100%),21,"C,L,N,OO"
2013,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.708919,-92.239492,LITTLE ROCK,PULASKI COUNTY,AR,72216,3M CO (100%),13,C
2013,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),18,C
2013,3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M Company (100%),14,C
2013,415 Strawn Basin DEC,1009276,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),115969,W
2013,420 Fort Worth Syncline DEC,1008289,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),344165,W
2013,430 Permian Basin,1009270,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",20446,W
2013,430 Permian Basin DEC,1008290,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),188143,W
2013,430 Permian Basin QEP Energy Company,1009691,1050 17th Street Unit 800,29.75608,-95.36433,Denver,HARRIS COUNTY,CO,80265,"EnerVest Operating, LLC (100%)",47992,W
2013,48th Street Peaking Station,1001106,491 E 48TH ST,42.7553,-86.0853,HOLLAND,Allegan,MI,49423,Holland Board of Public Works (100%),5,"C,D"
2013,507 Central Western Overthrust QEP Energy Company,1008294,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,DENVER COUNTY,CO,80265,QEP RESOURCES INC (100%),26261,W
2013,515 Powder River Basin DEC,1009278,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),11940,W
2013,515 Powder River Basin RKI Exploration & Production,1011262,"3817 NW Expressway, STE 950",35.513564,-97.578898,Oklahoma City,OKLAHOMA COUNTY,OK,73112,RKI Exploration & Production LLC (100%),11703,W
2013,535 Green River Basin - BP America Production Company,1008622,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),772648,W
2013,535 Green River Basin DEC,1008621,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),109303,W
2013,535 Green River Basin QEP Energy Company,1008295,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,DENVER COUNTY,CO,80265,QEP RESOURCES INC (100%),149927,W
2013,575 Uinta Basin QEP Energy Company,1009282,"1050 17th Street, Suite 500",39.7480769,-104.994564,Denver,,CO,80265,QEP RESOURCES INC (100%),389205,W
2013,580 San Juan Basin - BP America Production Company,1009076,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),1043153,W
2013,580 San Juan Basin DEC,1008974,333 West Sheridan Ave,35.46735,-97.5145,Oklahoma City,,OK,73102,Devon Energy Corporation (100%),43227,W
2013,58TH ST LF (MAIN COUNTY LF),1004680,8831 NW 58TH ST,25.83301,-80.3465,MIAMI,MIAMI-DADE COUNTY,FL,33178,Miami Dade Public Works and Waste Management Department (100%),95193,HH
2013,59th Street,1000766,850 12TH AVE,40.7711,-73.9911,NEW YORK,New York,NY,10019,CONSOLIDATED EDISON INC (100%),129,C
2013,69TH ST WWTP,1007733,2525 SSGT MACARIO GARCIA DR,29.75579,-95.29791,HOUSTON,HARRIS COUNTY,TX,77020,City of Houston (100%),13,C
2013,745 San Joaquin Basin Chevron USA Inc.,1008499,6001 Bollinger Canyon Rd.,37.795963,-122.022317,San Ramon,CONTRA COSTA,CA,94583,Chevron Corporation (100%),9339,W
2013,74th Street,1000767,506 E 75TH ST,40.768,-73.9515,NEW YORK,New York,NY,10021,CONSOLIDATED EDISON INC (100%),196,C
2013,A B Brown Generating Station,1001033,8511 WELBORN ROAD,37.9053,-87.715,MOUNT VERNON,Posey,IN,47620,VECTREN CORP (100%),7449,D
2013,A&AT LLC WAYNESBORO FACILITY,1002342,400 DU PONT BOULEVARD,38.061111,-78.883333,WAYNESBORO,WAYNESBORO CITY,VA,22980,KOCH INDUSTRIES INC (100%),239,C
2013,AAP ST MARYS CORP,1005445,1100 MCKINLEY RD.,40.55359,-84.3723,SAINT MARYS,AUGLAIZE COUNTY,OH,45885,HITACHI AMERICA LTD (100%),15,C
2013,ABBOTT NUTRITION,1002853,901 NORTH CENTERVILLE ROAD,41.8095,-85.426,STURGIS,ST. JOSEPH COUNTY,MI,49091,ABBOTT LABORATORIES (100%),11,C
2013,ABBOTT PARK FACILITY,1002983,100 ABBOTT PARK RD,42.30227,-87.89065,ABBOTT PARK,LAKE,IL,60064,ABBOTT LABORATORIES (100%),65,C
2013,ABBVIE LTD.,1007514,RD 2 KM 58.0,18.433237,-66.570509,BARCELONETA,BARCELONETA MUNICIPIO,PR,617,AbbVie Inc. (100%),107,C
2013,ABC COKE,1004511,ONE RAILROAD AVENUE,33.580769,-86.781281,TARRANT,JEFFERSON COUNTY,AL,35217,DRUMMOND CO INC (100%),48,"C,Q"
2013,"ABE South Dakota, LLC - Aberdeen",1002047,38469 133rd Street,45.459444,-98.5325,Aberdeen,BROWN COUNTY,SD,57401,ADVANCED BIOENERGY LLC (100%),442,"C,II"
2013,"ABE South Dakota, LLC - Huron",1002074,694 W PARK AVE NW,44.374508,-98.253288,HURON,BEADLE COUNTY,SD,57350,ADVANCED BIOENERGY LLC (100%),22,"C,II"
2013,ABERDEEN ENERGY LLC,1005353,13435 370TH AVENUE,45.442417,-98.787139,MINA,EDMUNDS COUNTY,SD,57451,GLACIAL LAKES CORN PROCESSORS (100%),86,C
2013,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,1006971,4304 Susquehanna Ave,39.395404,-76.30773,APG,HARFORD COUNTY,MD,21005,,22,C
2013,ABRAHAM COMPRESSOR STATION,1003091,9835 US HWY 60,35.766656,-100.478642,CANADIAN,HEMPHILL COUNTY,TX,79014,"Enbridge Energy Partners, L.P. (100%)",15,C
2013,ABSOLUTE ENERGY LLC,1002627,1372 STATELINE ROAD,43.49951,-92.91709,ST ANSGAR (MONA),MITCHELL COUNTY,IA,50472,"ABSOLUTE ENERGY, LLC (100%)",297,"C,II"
2013,AC 857 A,1002685,,26.29555555,-94.89777777,Offshore,,TX,0,Shell Petroleum Inc (100%),7192,"C,W"
2013,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,1006529,611 PETAL RD,30.256038,-92.532637,EGAN,ACADIA PARISH,LA,70531,ACADIA PARISH POLICE JURY (100%),50323,HH
2013,ACE Cogeneration Company,1004830,12801 Mariposa Street,35.7655,-117.3821,Trona,SAN BERNARDINO COUNTY,CA,93562,ACE Cogeneration Company (100%),1111,C
2013,ACE ETHANOL LLC,1004761,815 WEST MAPLE STREET,44.9589,-90.9608,STANLEY,CHIPPEWA,WI,54768,"ACE ETHANOL, LLC (100%)",34,"C,PP"
2013,ACME BRICK CO ELGIN PLANT,1005601,1776 OLD MCDADE RD,30.32903,-97.29207,ELGIN,BASTROP COUNTY,TX,78621,ACME BRICK COMPANY (100%),15,C
2013,ACME GYPSUM FACILITY,1005046,4164 HIGHWAY 285,34.323,-99.817306,QUANAH,HARDEMAN,TX,79252,"Koch Industries, Inc (100%)",14,C
2013,ADA COGENERATION,1002731,7575 FULTON STREET EAST,42.955455,-85.479053,ADA,KENT,MI,49355,"Thornapple Energy, LLC (50%); White Pine Energy, LLC (50%)",48,C
2013,"ADA Carbon Solutions (Red River), LLC",1003752,201 Red River Mine Road,32.005405,-93.387829,Coushatta,RED RIVER PARISH,LA,71019,"ADA Carbon Solutions, LLC (100%)",2,C
2013,ADKINS ENERGY LLC,1003422,4350 WEST GALENA ROAD,42.3586,-89.80342,LENA,STEPHENSON COUNTY,IL,61048,ADKINS ENERGY LLC (100%),137,"C,II"
2013,ADM - MANKATO,1002154,2019 3RD AVENUE,44.186805,-93.995493,MANKATO,BLUE EARTH COUNTY,MN,56001,ARCHER DANIELS MIDLAND CO (100%),331,C
2013,ADM CORN PROCESSING,1006047,1350 WACONIA AVENUE SOUTHWEST,41.928594,-91.687203,CEDAR RAPIDS,LINN COUNTY,IA,52404,ARCHER DANIELS MIDLAND CO (100%),8718,"C,II,PP"
2013,ADM CORN PROCESSING,1006208,1251 BEAVER CHANNEL PARKWAY,41.818117,-90.214731,CLINTON,CLINTON COUNTY,IA,52732,Archer Daniels Midland (100%),6438,"C,TT"
2013,ADM Deerfield,1010610,17700 South Highway T,37.80725,-94.585301,Deerfield,VERNON,MO,64741,Archer Daniels Midland (100%),15,C
2013,ADM MILLING COMPANY,1000034,1935 EAST EUCLID AVENUE,41.626329,-93.583205,DES MOINES,POLK COUNTY,IA,50313,ARCHER DANIELS MIDLAND CO (100%),345,C
2013,ADM QUINCY,1000376,2100 GARDNER EXPRESSWAY,39.903884,-91.410552,QUINCY,ADAMS COUNTY,IL,62305,ARCHER DANIELS MIDLAND CO (100%),290,C
2013,ADM SOUTHERN CELLULOSE PROD.IN,1006080,103 W 45TH ST,34.997921,-85.318581,CHATTANOOGA,HAMILTON COUNTY,TN,37410,ARCHER DANIELS MIDLAND CO (100%),11,C
2013,ADRIAN LANDFILL,1001991,1970 N OGDEN HWY,41.890683,-83.992445,ADRIAN,LENAWEE,MI,49221,"Republic Services, Inc. (100%)",16330,"C,HH"
2013,ADS-CEDAR HILL LANDFILL,1001633,1319 NO BUSINESS CREEK ROAD,33.676247,-86.25444,RAGLAND,ST. CLAIR COUNTY,AL,35131,ADVANCED DISPOSAL SERVICES (100%),87961,HH
