REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,VALUE,SUBPARTS
2017,#540 BONANZA CREEK ENERGY - DENVER BASIN,1000355,"410 17th Street, Suite 1500",39.74431,-104.98858,Denver,DENVER COUNTY,CO,80202,BONANZA CREEK ENERGY INC (100%),145971,W
2017,17Z Gas Plant - Chevron USA Inc.,1012147,22845 Highway 33,35.3181871,-119.6338842,McKittrick,,CA,93251,CHEVRON CORP (100%),9120,"C,NN,W"
2017,220 Gulf Coast Basin DEC,1009238,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),599083,W
2017,230 Arkla Basin QEP Energy Company,1009283,1050 17th Street Unit 800,39.7480769,-104.994564,Denver,,CO,80265,QEP RESOURCES INC (100%),34211,W
2017,23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),52646,"C,D"
2017,260 - East Texas Basin Gathering/Boosting,1012156,737 Eldridge Parkway,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),33504,W
2017,260 East Texas Basin - BP America Production Company,1009170,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),46456,W
2017,31st Street Landfill,1003742,11700 W 31ST ST,41.835129,-87.915924,WESTCHESTER,COOK COUNTY,IL,60154,ARCHDIOCESE OF CHICAGO (100%),147,"C,HH"
2017,345 - Arkoma Basin Gathering/Boosting,1012155,737 Eldridge Parkway,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),65295,W
2017,345 Arkoma Basin - BP America Production Company,1009169,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),62646,W
2017,345 Arkoma Bravo NR,1011963,"1323 East 71st Street, Suite 400",36.062167,-95.974333,Tulsa,,OK,74136,NATURAL GAS PARTNERS (100%),20121,W
2017,355 Chatauque Platform,1009264,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),81,W
2017,355 Chautauqua Platform DEC,1008286,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),1,W
2017,360 Anadarko Basin,1009265,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,CHAPARRAL ENERGY INC (100%),75072,W
2017,360 Anadarko Basin - BP America Production Company,1008558,501 Westlake Park Blvd,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),18962,W
2017,360 Anadarko Basin DEC,1008287,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),284888,W
2017,395 Williston Basin QEP Energy Company,1009281,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,DENVER COUNTY,CO,80265,QEP RESOURCES INC (100%),330896,W
2017,3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN,TX,76801,3M CO (100%),36165,"C,N"
2017,3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),76516,C
2017,3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO (100%),25108,"C,N"
2017,3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON,WI,54401,3M CO (100%),42577,C
2017,3M COMPANY,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),44689,"C,L,OO"
2017,3M CORDOVA,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND,IL,61242,3M CO (100%),27970,"C,L,OO"
2017,3M Cottage Grove Center - Site,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),28926,"C,L,N,OO"
2017,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.708919,-92.239492,LITTLE ROCK,PULASKI COUNTY,AR,72216,3M CO (100%),29665,C
2017,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),37867,C
2017,3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO (100%),30498,C
2017,415 Strawn Basin DEC,1009276,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),92150,W
2017,420 Fort Worth Syncline DEC,1008289,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),155452,W
2017,430 Permian Basin DEC,1008290,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),218291,W
2017,430 Permian Basin GB DEC,1012353,333 West Sheridan Ave,35.46646,-97.51827,Oklahoma City,OKLAHOMA COUNTY,OK,73102,DEVON ENERGY CORP (100%),21488,W
2017,430 Permian Basin QEP Energy Company,1009691,1050 17th Street Unit 800,29.75608,-95.36433,Denver,HARRIS COUNTY,CO,80265,QEP RESOURCES INC (100%),150974,W
2017,48th Street Peaking Station,1001106,491 E 48TH ST,42.7553,-86.0853,HOLLAND,Allegan,MI,49423,HOLLAND BOARD OF PUBLIC WORKS (100%),50948,"C,D"
2017,50 Buttes Gas Plant,1012037,3669 South Hwy 50,43.760929,-105.785087,Gillette,,WY,82716,THUNDER CREEK GAS SERVICES LLC (100%),39664,"C,W"
2017,515 Powder River Basin,1012569,"1775 Sherman, Suite 1700",39.7312095,-104.9826965,Denver,,CO,80203,WOLD ENERGY PARTNERS LLC (100%),17389,W
2017,515 Powder River Basin DEC,1009278,333 West Sheridan Ave,35.4711808,-97.516602,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),117675,W
2017,535 Green River Basin - BP America Production Company,1008622,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),67464,W
2017,535 Green River Basin QEP Energy Company,1008295,"1050 17th Street, Suite 500",39.74846,-104.99402,Denver,DENVER COUNTY,CO,80265,QEP RESOURCES INC (100%),4699,W
2017,575 Uinta Basin QEP Energy Company,1009282,"1050 17th Street, Suite 500",39.7480769,-104.994564,Denver,,CO,80265,QEP RESOURCES INC (100%),3342,W
2017,580 - San Juan Basin Gathering/Boosting,1012154,737 Eldridge Parkway,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),157711,W
2017,580 San Juan Basin - BP America Production Company,1009076,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),530594,W
2017,59th Street,1000766,850 12TH AVE,40.7711,-73.9911,NEW YORK,New York,NY,10019,CONSOLIDATED EDISON INC (100%),218624,C
2017,69TH ST WWTP,1007733,2525 SSGT MACARIO GARCIA DR,29.75579,-95.29791,HOUSTON,HARRIS COUNTY,TX,77020,CITY OF HOUSTON (100%),22684,C
2017,745 San Joaquin Basin Chevron USA Inc.,1008499,6001 Bollinger Canyon Rd.,37.795963,-122.022317,San Ramon,CONTRA COSTA,CA,94583,CHEVRON CORP (100%),12148,W
2017,74th Street,1000767,506 E 75TH ST,40.768,-73.9515,NEW YORK,New York,NY,10021,CONSOLIDATED EDISON INC (100%),194720,C
2017,A B Brown Generating Station,1001033,8511 WELBORN ROAD,37.9053,-87.715,MOUNT VERNON,Posey,IN,47620,VECTREN CORP (100%),2155623,D
2017,A&AT LLC WAYNESBORO FACILITY,1002342,400 DU PONT BOULEVARD,38.061111,-78.883333,WAYNESBORO,WAYNESBORO CITY,VA,22980,KOCH INDUSTRIES INC (100%),32710,C
2017,AAP ST MARYS CORP,1005445,1100 MCKINLEY RD.,40.55359,-84.3723,SAINT MARYS,AUGLAIZE COUNTY,OH,45885,HITACHI AMERICA LTD (100%),38121,C
2017,ABBOTT PARK FACILITY,1002983,100 ABBOTT PARK RD,42.30227,-87.89065,ABBOTT PARK,LAKE COUNTY,IL,60064,ABBOTT LABORATORIES (100%),55432,C
2017,ABBVIE LTD.,1007514,RD 2 KM 58.0,18.433237,-66.570509,BARCELONETA,BARCELONETA MUNICIPIO,PR,617,ABBVIE INC (100%),81830,C
2017,ABC COKE,1004511,ONE RAILROAD AVENUE,33.580769,-86.781281,TARRANT,JEFFERSON,AL,35217,DRUMMOND CO INC (100%),166246,"C,Q"
2017,"ABE South Dakota, LLC - Aberdeen",1002047,38469 133rd Street,45.459444,-98.5325,Aberdeen,BROWN COUNTY,SD,57401,ADVANCED BIOENERGY LLC (100%),68409,C
2017,"ABE South Dakota, LLC - Huron",1002074,694 W PARK AVE NW,44.374508,-98.253288,HURON,BEADLE COUNTY,SD,57350,ADVANCED BIOENERGY LLC (100%),42603,C
2017,ABERDEEN ENERGY LLC,1005353,13435 370TH AVENUE,45.442417,-98.787139,MINA,EDMUNDS COUNTY,SD,57451,GLACIAL LAKES CORN PROCESSORS (100%),189569,C
2017,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,1006971,4304 Susquehanna Ave,39.395404,-76.30773,APG,HARFORD COUNTY,MD,21005,,83458,C
2017,ABSOLUTE ENERGY LLC,1002627,1372 STATELINE ROAD,43.49951,-92.91709,ST ANSGAR (MONA),MITCHELL COUNTY,IA,50472,ABSOLUTE ENERGY LLC (100%),176697,"C,II"
2017,AC 857 A,1002685,,26.29555555,-94.89777777,Offshore,,TX,0,SHELL OIL CO (100%),204125,"C,W"
2017,ACE ETHANOL LLC,1004761,815 WEST MAPLE STREET,44.9589,-90.9608,STANLEY,CHIPPEWA,WI,54768,ACE ETHANOL LLC (100%),73331,"C,PP"
