state,value
AL,5400419
AK,815122
AZ,5630647
AR,2772214
CA,29424012
CO,5005172
CT,2841764
DE,964316
FL,16105008
GA,8137621
HI,1242319
ID,1854019
IL,10595254
IN,6045114
IA,3636898
KS,2634856
KY,4151982
LA,3901432
ME,1104001
MD,4135158
MA,5069601
MI,8294108
MN,5281269
MS,2068853
MO,5624005
MT,1645227
NE,1981296
NV,2316056
NH,1296137
NJ,5938585
NM,1823445
NY,10638765
NC,7928973
ND,890803
OH,10557323
OK,2988512
OR,3607482
PA,10598694
RI,875097
SC,4162651
SD,1082289
TN,5612123
TX,21864841
UT,2229193
VT,655347
VA,7238905
WA,6725467
WV,1613345
WI,5466581
WY,814989
