state,value
AL,8
AK,0.3
AZ,194
AR,7
CA,1776
CO,146
CT,19
DE,5
FL,125
GA,83
HI,2.2
ID,585
IL,94
IN,182
IA,211
KS,143
KY,61
LA,14
ME,30
MD,49
MA,12
MI,408
MN,460
MS,11
MO,88
MT,14
NE,57
NV,29
NH,14
NJ,7
NM,323
NY,618
NC,47
ND,16
OH,267
OK,39
OR,125
PA,530
RI,0.9
SC,15
SD,106
TN,45
TX,463
UT,96
VT,132
VA,91
WA,277
WV,9
WI,1279
WY,6
