REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,VALUE,SUBPARTS
2015,"NGPL Station 309, Marble Hill, MO",1002412,8000 Why 34,37.318581,-89.944006,Marble Hill,BOLLINGER,MO,63764,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),9303,"C,W"
2015,"NGPL Station 310 Centralia, IL",1002742,7501 Huey Rd,38.53034,-89.26392,Centralia,CLINTON,IL,62801,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),22447,"C,W"
2015,"NGPL Station 311 Hammond, IL",1002419,586 E US Highway 36 - Box 157,39.79215,-88.5875,Hammond,MOULTRIE,IL,61929,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),11472,"C,W"
2015,"NGPL Station 342 Johnson's Bayou, LA",1002847,652 DEEP BAYOU ROAD,29.803589,-93.753746,CAMERON,CAMERON,LA,70631,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),17306,"C,W"
2015,"NGPL Station 388 Storage, Longview, TX",1007430,19935 FM 449,32.60055,-94.66629,Longview,HARRISON COUNTY,TX,75605,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),13403,"C,W"
2015,"NGPL Station 801, Ratliff City, OK",1002972,7212 Cargo Rd,34.433401,-97.503067,RATLIFF CITY,CARTER,OK,73481,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),9146,"C,W"
2015,"NGPL Station 802, Paris, TX",1002811,5410 CR 24200,33.601832,-95.624767,Paris,LAMAR,TX,75460,BROOKFIELD INFRASTRUCTURE PTNR (50%); KINDER MORGAN INC (50%),4353,"C,W"
2015,NIAGARA FALLS LANDFILL,1004772,5600 NIAGARA FALLS BOULEVARD,43.09046,-78.99816,NIAGARA FALLS,NIAGARA COUNTY,NY,14304,REPUBLIC SERVICES INC (100%),141442,"C,HH"
2015,NIAGARA MOHAWK POWER CORPORATION,1002603,300 Erie Boulevard West,43.05085,-76.15701,Syracuse,ONONDAGA COUNTY,NY,13202,NATIONAL GRID USA (100%),202976,"NN,W"
2015,NICHOLS ALUMINUM LLC - Davenport Casting,1002933,2101 J M MORRIS BOULEVARD,41.49661,-90.6455,DAVENPORT,SCOTT COUNTY,IA,52802,ALERIS INTERNATIONAL INC (100%),22,C
2015,NICOR GAS,1004163,1844 W. FERRY ROAD,41.80725,-88.19779,NAPERVILLE,DUPAGE,IL,60563,AGL RESOURCES INC (100%),138926,"NN,W"
2015,NIKISKI CO-GENERATION,1007874,48169 KENAI SPUR HIGHWAY,60.6766,-151.37705,NIKISKI,KENAI PENINSULA BOROUGH,AK,99635,HOMER ELECTRIC ASSOC (100%),93,C
2015,NIPPON DYNAWAVE PACKAGING,1006360,3401 INDUSTRIAL WAY,46.130097,-122.983216,LONGVIEW,COWLITZ COUNTY,WA,98632,WEYERHAEUSER CO (100%),1723,"AA,C"
2015,NIPSCO GAS,1006398,801 E. 86th Avenue,41.46339,-87.32624,Merrillville,LAKE COUNTY,IN,46410,NISOURCE INC (100%),90698,"NN,W"
2015,"NISSAN NORTH AMERICA INC, CANTON MANUFACTURING FACILITY",1006767,300 NISSAN DRIVE,32.57149,-90.069299,CANTON,MADISON COUNTY,MS,39046,NISSAN NORTH AMERICA INC (100%),22,C
2015,"NISSAN NORTH AMERICA, INC.",1003850,983 NISSAN DRIVE,35.959978,-86.490007,SMYRNA,RUTHERFORD COUNTY,TN,37167,NISSAN NA INC (100%),34,C
2015,NJMC 1-E Landfill,1009137,100 Baler Boulevard,40.775058,-74.123042,North Arlington,BERGEN COUNTY,NJ,7031,NEW JERSEY MEADOWLANDS COMMISSION (100%),36247,"C,HH"
2015,NLMK INDIANA,1007866,6500 S. BOUNDARY RD.,41.62152,-87.16148,PORTAGE,PORTER,IN,46368,NLMK INDIANA (100%),26,"C,Q"
2015,NLMK PENNSYLVANIA LLC,1006013,15 ROEMER BOULEVARD,41.215633,-80.508364,FARRELL,MERCER COUNTY,PA,16121,TOP GUN INVESTMENT CORP II (100%),81,C
2015,NNSWC LANDFILL,1007546,57220 825 RD,41.78651,-97.09357,CLARKSON,STANTON COUNTY,NE,68629,NORTHEAST NEBRASKA SOLID WASTE COALITION (100%),61265,"C,HH"
2015,NOBLE ROAD LANDFILL (0370000134),1004850,170 NOBLE ROAD EAST,40.971102,-82.48517,SHILOH,RICHLAND,OH,44878,RUMPKE CONSOLIDATED COS INC (100%),276320,HH
2015,NONPAREIL CORPORATION,1005200,40 NORTH 400 WEST,43.201267,-112.376854,BLACKFOOT,BINGHAM COUNTY,ID,83221,BASIC AMERICAN FOODS (100%),14,C
2015,NORANDA ALUMINA,1007929,1111 E AIRLINE HIGHWAY,30.0615,-90.6659,GRAMERCY,ST. JAMES PARISH,LA,70052,NORANDA ALUMINUM HOLDING CORP (100%),366,C
2015,NORFOLK SOUTHERN RAILWAY CO/JUNIATA LOCOMOTIVE SHOPS,1002572,200 N 4TH AVE,40.53289,-78.38533,ALTOONA,BLAIR,PA,16601,NORFOLK SOUTHERN RAILWAY CORP (100%),60,C
2015,NORTH 48TH STREET LANDFILL,1007970,5101 NORTH 48TH STREET,40.86692,-96.65328,LINCOLN,LANCASTER COUNTY,NE,68504,CITY OF LINCOLN NEBRASKA (100%),80635,"C,HH"
2015,NORTH AMERICAN SALT CO,1003829,1662 AVE N,38.329405,-98.190724,LYONS,RICE COUNTY,KS,67554,COMPASS MINERALS (100%),25,C
2015,NORTH CENTER STREET LANDFILL,1003046,13602 E. BEELINE HIGHWAY,33.504378,-111.787864,SCOTTSDALE,MARICOPA COUNTY,AZ,85256,SALT RIVER PIMA MARICOPA INDIAN COMMUNITY (100%),27662,HH
2015,NORTH COUNTRY ENVIRONMENTAL SERVICES INC,1005255,581 TRUDEAU ROAD,44.2606,-71.6278,BETHLEHEM,GRAFTON,NH,3574,CASELLA WASTE SYSTEMS INC (100%),63143,"C,HH"
2015,NORTH COUNTY SANITARY LANDFILL,1007197,17720 EAST HARNEY LANE,38.10342,-121.10132,LODI,SAN JOAQUIN COUNTY,CA,95240,SAN JOAQUIN COUNTY PUBLIC WORKS DEPARTMENT (100%),82588,HH
2015,NORTH CROSS COMP STATION 4,1002868,4.3 M W ON US 67/385,31.10944,-102.298058,MCCAMEY,UPTON,TX,79752,OCCIDENTAL PETROLEUM CORP (93.95%); CHEVRON CORP (6.05%),1936,"C,W"
2015,NORTH DADE LANDFILL MIAMI-DADE SOLID WASTE MANAGEMENT,1006292,21500 N.W. 47 AVENUE,25.96761,-80.286748,MIAMI,MIAMI-DADE COUNTY,FL,33055,MIAMI DADE PUBLIC WORKS & WASTE MANAGEMENT DEPARTMENT (100%),38476,HH
2015,NORTH MIRAMAR SANITARY LANDFILL,1007558,5180 CONVOY STREET,32.83666,-117.152262,SAN DIEGO,SAN DIEGO,CA,92111,City of San Diego (100%),2411,HH
2015,NORTH SANITARY LANDFILL INC PINACLE RD,1003390,4220 PINNACLE ROAD,39.696492,-84.24758,DAYTON,MONTGOMERY COUNTY,OH,45418,WASTE MANAGEMENT INC (100%),2751,HH
2015,NORTH SHELBY LANDFILL,1006303,7111 MILLINGTON ROAD,35.326016,-89.946596,MILLINGTON,SHELBY COUNTY,TN,38053,REPUBLIC SERVICES INC (100%),53872,HH
2015,NORTH STAR BLUESCOPE STEEL LLC *,1005163,6767 COUNTY ROAD 9,41.56517,-84.03754,DELTA,FULTON COUNTY,OH,43515,NORTH STAR BLUESCOPE STEEL LLC (100%),59,"C,Q"
2015,NORTH WAKE COUNTY LANDFILL,1005786,9004 DEPONIE DRIVE,35.905321,-78.583089,RALEIGH,WAKE COUNTY,NC,27615,Wake County Government  (100%),10208,HH
2015,NORTH WELD SANITARY LANDFILL,1007880,40000 WELD COUNTY RD 25,40.5854,-104.83181,AULT,WELD COUNTY,CO,80610,WASTE MANAGEMENT INC (100%),135050,"C,HH"
