state,value
AL,5020989
AK,710203
AZ,5774390
AR,2796984
CA,33210789
CO,5152975
CT,3085838
DE,913842
FL,16703582
GA,8645955
HI,1244813
ID,1926410
IL,10561669
IN,6093472
IA,3302997
KS,2417892
KY,3741519
LA,4262743
ME,1108803
MD,4176002
MA,5625052
MI,8667211
MN,4851647
MS,2064997
MO,5074232
MT,1176552
NE,2008399
NV,2407425
NH,1114520
NJ,5988753
NM,1831237
NY,10698826
NC,8116001
ND,815824
OH,10609334
OK,3380543
OR,3711927
PA,10218819
RI,878441
SC,4270714
SD,826183
TN,5641427
TX,22558763
UT,2698595
VT,567528
VA,7114817
WA,6442996
WV,1590691
WI,4984115
WY,660419
