state,value
AL,6
AK,0.3
AZ,203
AR,6
CA,1749
CO,160
CT,19
DE,5
FL,124
GA,84
HI,2.3
ID,600
IL,93
IN,187
IA,218
KS,152
KY,56
LA,12
ME,30
MD,48
MA,12
MI,427
MN,458
MS,9
MO,85
MT,13
NE,60
NV,32
NH,13
NJ,6
NM,329
NY,623
NC,45
ND,16
OH,263
OK,39
OR,124
PA,525
RI,0.8
SC,15
SD,117
TN,40
TX,511
UT,95
VT,129
VA,87
WA,274
WV,8
WI,1278
WY,6
