state,value
AL,7
AK,0.3
AZ,196
AR,6
CA,1762
CO,151
CT,19
DE,5
FL,123
GA,84
HI,2.4
ID,595
IL,94
IN,184
IA,213
KS,146
KY,58
LA,12
ME,30
MD,48
MA,12
MI,419
MN,461
MS,10
MO,85
MT,14
NE,60
NV,30
NH,14
NJ,7
NM,315
NY,620
NC,46
ND,16
OH,265
OK,37
OR,125
PA,529
RI,0.8
SC,15
SD,115
TN,42
TX,475
UT,92
VT,130
VA,90
WA,276
WV,9
WI,1279
WY,6
