state,value
AL,8
AK,0.3
AZ,193
AR,7
CA,1780
CO,144
CT,19
DE,4.8
FL,123
GA,81
HI,2.2
ID,575
IL,94
IN,178
IA,207
KS,141
KY,63
LA,15
ME,30
MD,50
MA,13
MI,390
MN,460
MS,13
MO,89
MT,14
NE,54
NV,29
NH,14
NJ,7
NM,323
NY,615
NC,46
ND,16
OH,267
OK,40
OR,124
PA,530
RI,0.9
SC,16
SD,97
TN,46
TX,463
UT,95
VT,132
VA,93
WA,273
WV,9
WI,1271
WY,6
